issn,eissn,journal_name,jif_2024,jif_quartile
00079235,15424863,CA-A CANCER JOURNAL FOR CLINICIANS,232.4,Q1
17401526,17401534,NATURE REVIEWS MICROBIOLOGY,103.3,Q1
14741776,14741784,NATURE REVIEWS DRUG DISCOVERY,101.8,Q1
14710072,14710080,NATURE REVIEWS MOLECULAR CELL BIOLOGY,90.2,Q1
21571724,21571716,Kidney International Supplements,89.6,Q1
01406736,1474547X,LANCET,88.5,Q1
20588437,20588437,Nature Reviews Materials,86.2,Q1
17594774,17594782,Nature Reviews Clinical Oncology,82.2,Q1
00284793,15334406,NEW ENGLAND JOURNAL OF MEDICINE,78.5,Q1
,2662138X,Nature Reviews Earth & Environment,71.5,Q1
1474175X,14741768,NATURE REVIEWS CANCER,66.8,Q1
17238617,20515545,World Psychiatry,65.8,Q1
09237534,15698041,ANNALS OF ONCOLOGY,65.4,Q1
23673613,14338351,Living Reviews in Relativity,62.5,Q1
14741733,14741741,NATURE REVIEWS IMMUNOLOGY,60.9,Q1
2056676X,2056676X,Nature Reviews Disease Primers,60.6,Q1
20587546,20587546,Nature Energy,60.1,Q1
10575987,15458601,MMWR Recommendations and Reports,60.1,Q1
00092665,15206890,CHEMICAL REVIEWS,55.8,Q1
00987484,15383598,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,55.0,Q1
20959907,20593635,Signal Transduction and Targeted Therapy,52.7,Q1
14710056,14710064,NATURE REVIEWS GENETICS,52.0,Q1
17595045,17595053,Nature Reviews Gastroenterology & Hepatology,51.0,Q1
10788956,1546170X,NATURE MEDICINE,50.0,Q1
15458636,15458636,MMWR Surveillance Summaries,49.8,Q1
00280836,14764687,NATURE,48.5,Q1
00368075,10959203,SCIENCE,45.8,Q1
14744422,14744465,LANCET NEUROLOGY,45.5,Q1
00346861,15390756,REVIEWS OF MODERN PHYSICS,44.8,Q1
25201158,25201158,Nature Catalysis,44.6,Q1
15356108,18783686,CANCER CELL,44.5,Q1
